,averaged daily return,averaged daily return after transaction cost
2015-03-09,0.0,-0.001
2015-03-10,-0.0042245478592186445,-0.0042245478592186445
2015-03-11,0.0022062609672107557,0.0022062609672107557
2015-03-12,0.014064328566045932,0.014064328566045932
2015-03-13,0.018036432344401093,0.018036432344401093
2015-03-16,0.02436790185253088,0.02396049444512347
2015-03-17,0.019752962783255508,0.019752962783255508
2015-03-18,0.03568046481699366,0.03568046481699366
2015-03-19,0.008710750933082332,0.008710750933082332
2015-03-20,0.01033727012436367,0.01033727012436367
2015-03-23,0.024744142714197975,0.024315571285626548
2015-03-24,0.011835492944172271,0.011835492944172271
2015-03-25,-0.00604640902660625,-0.00604640902660625
2015-03-26,-0.0035643058875044326,-0.0035643058875044326
2015-03-27,0.003917525879127785,0.003917525879127785
2015-03-30,0.03334601665739875,0.03313173094311304
2015-03-31,-0.017685534076430393,-0.017685534076430393
2015-04-01,0.016537113949569488,0.016537113949569488
2015-04-02,0.003351444649725875,0.003351444649725875
2015-04-03,0.007042221401847654,0.007042221401847654
2015-04-07,0.026896779445797877,0.026563446112464542
2015-04-08,0.018837999917831978,0.018837999917831978
2015-04-09,-0.012432353019140405,-0.012432353019140405
2015-04-10,0.00901098706205189,0.00901098706205189
2015-04-13,0.02515721098902771,0.02515721098902771
2015-04-14,0.02729752669448822,0.02689752669448822
2015-04-15,-0.013184580600110884,-0.013184580600110884
2015-04-16,0.02846397545699339,0.02846397545699339
2015-04-17,0.037628300364471415,0.037628300364471415
2015-04-20,0.01376053308011194,0.01376053308011194
2015-04-21,0.0163924236537902,0.015992423653790198
2015-04-22,0.03223074559550829,0.03223074559550829
2015-04-23,0.007909015612691275,0.007909015612691275
2015-04-24,0.005882019609301204,0.005882019609301204
2015-04-27,0.034678850366483466,0.034678850366483466
2015-04-28,-0.012679792254471042,-0.012946458921137709
2015-04-29,-0.0020945915139851013,-0.0020945915139851013
2015-04-30,0.002736048022259649,0.002736048022259649
2015-05-04,0.009287629032869019,0.009287629032869019
2015-05-05,-0.047047347167397356,-0.047047347167397356
2015-05-06,-0.02152472057832645,-0.02183722057832645
2015-05-07,-0.05010972796542618,-0.05010972796542618
2015-05-08,0.03399658163323095,0.03399658163323095
2015-05-11,0.03607643321777875,0.03607643321777875
2015-05-12,0.02065333422668061,0.02065333422668061
2015-05-13,-0.013512856080313773,-0.01377952274698044
2015-05-14,0.002461267875712376,0.002461267875712376
