"","CMC.5.Long.Decile.1.Lookback.1.All","CMC.5.Long.Decile.1.Lookback.1.Positive","CMC.5.Long.Decile.1.Lookback.1.Negative","CMC.5.Short.Decile.10.Lookback.10.All","CMC.5.Short.Decile.10.Lookback.10.Positive","CMC.5.Short.Decile.10.Lookback.10.Negative","year"
"Volatility","0.231428535269633","0.238067962501306","0.241031848017759","0.271779985240199","0.272555272421319","0.266660202831587","2018"
"SemiDeviation","0.168880876107628","0.174504359539347","0.17414220101094","0.183817243053284","0.182780054145823","0.182613566494357","2018"
"MaxDrawdown","0.365870466916998","0.375049311504783","0.364256277780733","0.105733267407095","0.103805238143963","0.106350652025689","2018"
"Sharpe","-1.36193499287125","-1.43316560653782","-1.44200917162494","2.3803191760168","1.95698326013717","2.28882290449788","2018"
"Sortino","-1.86634880039218","-1.9551993817007","-1.99589837200623","3.51938207634461","2.91818551035721","3.34223788339321","2018"
"Calmar","-0.861481450494217","-0.909722549566809","-0.954191201900274","6.11844433061945","5.13833516619765","5.73892090301016","2018"
"Skewness","-0.373548628854068","-0.381839485163615","-0.301416618737773","0.388896262754914","0.419378937245473","0.292040230484722","2018"
""," "," "," "," "," "," "," "
"Periods","140","140","140","140","140","140","2019"
"Return","0.243153788216381","0.232732404435832","0.315895552199477","-0.130766116239413","-0.152367084780708","-0.146824530552344","2019"
"Daily_Max","0.055307051","0.053755487","0.060420276","0.085934803","0.085774033","0.082598395","2019"
"Daily_Min","-0.065725518","-0.062433423","-0.063983143","-0.06192198","-0.061164606","-0.063566469","2019"
"Annual_Return","0.482344719937503","0.459947415840494","0.642907849333658","-0.223881600986545","-0.258411364535024","-0.249618461561648","2019"
"Volatility","0.239145714175368","0.230643316009899","0.241365933165225","0.310053613089139","0.307925529818418","0.305677573932572","2019"
"SemiDeviation","0.16735962542399","0.158646650274404","0.164978162054976","0.214279385403879","0.213970279417884","0.212761713833432","2019"
"MaxDrawdown","0.145617676422682","0.14714256006016","0.130461949732074","0.346789821177145","0.347699477826035","0.349505364838172","2019"
"Sharpe","2.0169490454836","1.99419356171914","2.66362299311544","-0.722073833476601","-0.839200844072292","-0.81660704889234","2019"
"Sortino","2.88208532204543","2.89919399524001","3.89692697097341","-1.04481166288847","-1.20769746732137","-1.17323016939537","2019"
"Calmar","3.31240500320448","3.12586253530212","4.92793378187263","-0.645582964997648","-0.743203199932086","-0.714204949835966","2019"
"Skewness","-0.190253233815409","-0.0328939844515792","0.0571946978975112","0.360645068025431","0.353010177499584","0.291820490900424","2019"
