,CMC 5-Long-Decile 1 Lookback 1-All,CMC 5-Long-Decile 1 Lookback 1-Positive,CMC 5-Long-Decile 1 Lookback 1-Negative,CMC 5-Short-Decile 10 Lookback 10-All,CMC 5-Short-Decile 10 Lookback 10-Positive,CMC 5-Short-Decile 10 Lookback 10-Negative,BM,CMC 5-Long-Decile 1 Lookback 1-All,CMC 5-Long-Decile 1 Lookback 1-Positive,CMC 5-Long-Decile 1 Lookback 1-Negative,CMC 5-Short-Decile 10 Lookback 10-All,CMC 5-Short-Decile 10 Lookback 10-Positive,CMC 5-Short-Decile 10 Lookback 10-Negative,Equal Weight
3/24/2015,0.008517185,0.005422073,0.011066332,-0.004939851,-0.00272026,-0.004960916,0.008419795,1.014068852,0.995711035,1.014978661,0.954527878,0.961063868,0.97025731,1.133042516
3/25/2015,0.016404429,0.015381254,0.012261511,0.005326576,0.001804883,0.005834934,-0.003191126,1.030704072,1.011026319,1.027423833,0.959612243,0.962798476,0.975918698,1.129426834
3/26/2015,-0.007174845,-0.005499587,-0.00851123,0.000366505,0.000186535,-0.00427839,-0.00284589,1.02330893,1.005466092,1.018679192,0.959963946,0.962978071,0.971743337,1.126212609
3/27/2015,0.008961603,0.009978818,0.00559811,0.005310508,0.005655325,0.006894713,0.008286689,1.032479418,1.015499455,1.02438187,0.965061842,0.968424025,0.978443228,1.135545184
3/30/2015,-0.010022976,-0.013892763,-0.014211674,-0.011229497,-0.0088672,-0.012948608,0.023975694,1.022130902,1.001391362,1.009823689,0.954224683,0.959836816,0.96577375,1.162770668
3/31/2015,0.012762965,0.006293311,0.010217834,0.008972278,0.010016147,0.010438139,-0.007503472,1.035176323,1.007693429,1.0201419,0.962786252,0.969450682,0.975854631,1.15404585
4/1/2015,0.006352877,0.004306729,0.004517606,0.00374587,0.006136959,0.005316091,0.0205625,1.041752671,1.012033291,1.024750499,0.966392724,0.975400161,0.981042363,1.177775918
4/2/2015,0.011681547,0.009820955,0.01171252,0.004009927,0.005536344,0.005615547,0.008225694,1.053921954,1.021972425,1.03675291,0.970267889,0.980800312,0.986551452,1.187463943
4/3/2015,0.003723012,-0.003250031,0.009330708,0.006062137,0.008396165,0.007014966,0.012138889,1.057845718,1.018650983,1.046426548,0.976149786,0.989035273,0.993472077,1.201878436
4/7/2015,-0.000331713,0.000520138,0.000191738,-0.006961927,-0.006005722,-0.005141136,0.020314879,1.057494816,1.019180822,1.046627188,0.969353902,0.983095403,0.988364502,1.226294451
4/8/2015,-0.012856689,-0.009584865,-0.013330064,-0.026468615,-0.027769875,-0.027893696,-0.004734483,1.043898935,1.009412111,1.032675581,0.943696447,0.955794966,0.960795363,1.220488581
4/9/2015,-0.007903963,-0.009774331,-0.008719697,-0.000275385,0.002057034,-0.001616338,-0.011695205,1.035647996,0.999545783,1.023670963,0.943436567,0.957761069,0.959242393,1.206214716
4/10/2015,0.006904766,0.007613759,0.00498433,0.011436719,0.012680176,0.010160282,0.023563574,1.042798903,1.007156084,1.028773276,0.954226386,0.969905648,0.968988567,1.234637446
4/13/2015,0.015080439,0.009653958,0.011531918,-0.006332597,-0.00598074,-0.008529899,0.018601375,1.058524768,1.016879126,1.040637006,0.948183655,0.964104894,0.960723192,1.257603399
4/14/2015,0.000840619,0.000712517,0.001020697,-0.021793959,-0.015684822,-0.022137478,0.003609589,1.059414584,1.01760367,1.041699181,0.927518979,0.948983081,0.939455203,1.262142831
4/15/2015,-0.002355666,-0.00078368,-0.002478167,-0.015273682,-0.011375322,-0.015973622,-0.02542268,1.056918957,1.016806194,1.039117676,0.913352349,0.938188092,0.924448701,1.230055777
4/16/2015,-0.000293593,-0.00515666,0.002853838,-0.00818848,-0.00312807,-0.012065851,0.023859107,1.056608653,1.011562871,1.04208315,0.905873382,0.935253374,0.913294441,1.259403809
4/17/2015,-0.011306704,-0.009875317,-0.00801231,-0.015045702,-0.016036164,-0.020432533,0.018604811,1.044661892,1.001573366,1.033733656,0.892243881,0.920255498,0.894633522,1.282834779
4/20/2015,-0.019216916,-0.01912172,-0.01931269,-0.023443014,-0.019439077,-0.030934534,-0.012786207,1.024586712,0.982421561,1.013769479,0.871326995,0.90236658,0.866958451,1.266432188
4/21/2015,0.000497625,-0.002346961,0.00105036,0.009967806,0.010613544,0.014629994,0.028737931,1.025096572,0.980115856,1.014834302,0.880012213,0.911943888,0.879642048,1.302826829
4/22/2015,-0.000364626,-0.008094277,-0.002770856,-0.001014375,-0.000832516,0.00044604,0.027454861,1.024722795,0.972182527,1.012022342,0.879119551,0.91118468,0.880034403,1.338595758
4/23/2015,0.018075311,0.014534182,0.010691337,0.006826694,0.007737028,0.00676773,0.010532872,1.043244979,0.986312404,1.022842214,0.885121031,0.918234541,0.885990239,1.352695016
4/24/2015,0.005805632,0.001384726,0.007616859,-0.002496325,-0.001283026,0.002712574,-0.001258621,1.049301675,0.987678177,1.030633059,0.882911481,0.917056423,0.888393553,1.350992486
4/27/2015,-0.014034108,-0.009616096,-0.009731173,-0.016535319,-0.013822283,-0.017452792,0.017472414,1.034575662,0.978180569,1.02060379,0.868312258,0.904380609,0.872888605,1.374597586
4/28/2015,-0.013420028,-0.011161301,-0.009829518,-0.014258411,-0.00695036,-0.017367241,-0.026439863,1.020691628,0.967262801,1.010571747,0.855931505,0.898094838,0.857728938,1.338253415
4/29/2015,0.01239175,0.01883567,0.013605652,0.015853887,0.015995683,0.014906217,0.014880137,1.033339783,0.985481844,1.024321234,0.869501347,0.912460479,0.870514432,1.358166809
4/30/2015,0.005439696,-0.000180738,0.002938111,-0.005328364,-0.0082557,-0.003103475,-0.003945392,1.038960837,0.98530373,1.027330804,0.864868327,0.904927479,0.867812812,1.352808308
5/4/2015,-0.015397205,-0.009290775,-0.013965631,0.000418651,-0.002335452,0.003342238,0.010047619,1.022963744,0.976149495,1.012983481,0.865230405,0.902814064,0.870713249,1.36640081
5/5/2015,0.01169486,0.016091915,0.008852226,0.005433748,0.006866476,0.002674657,-0.040517007,1.034927162,0.991857609,1.02195064,0.869931849,0.909013215,0.873042108,1.311038339
5/6/2015,0.00230937,0.010315137,0.002497236,0.012087454,0.0068444,0.012986092,-0.013204082,1.037317192,1.002088756,1.024502691,0.88044711,0.915234865,0.884379513,1.293727282
5/7/2015,0.006981359,0.007838557,0.009346792,0.030989814,0.034175873,0.017329227,-0.020464164,1.044559076,1.009943686,1.034078505,0.907732002,0.946513816,0.899705127,1.267252235
5/8/2015,0.014285569,0.015913407,0.012851364,-0.005385334,-0.006243537,-0.000907871,0.029561644,1.059481196,1.026015331,1.047367824,0.902843562,0.940604222,0.89888831,1.304714294
5/11/2015,0.004523128,0.005793338,-0.000753421,-0.001897752,-6.34E-05,0.002775247,0.034754266,1.064273365,1.031959385,1.046578715,0.901130189,0.940544542,0.901382948,1.350058682
5/12/2015,0.00893512,0.007784588,0.016072151,-0.008816908,-0.006204132,-0.003632112,0.016657534,1.073782776,1.039992763,1.063399487,0.893185007,0.93470928,0.898109024,1.372547331
5/13/2015,0.010741149,0.017378694,0.014357418,0.018766267,0.017328462,0.021463267,0.001020619,1.085316436,1.058066479,1.078667157,0.909946756,0.950906354,0.917385378,1.373948178
5/14/2015,0.004986552,0.006320028,0.0017132,-0.004318664,-0.004090189,-0.005121911,-0.001270548,1.090728423,1.064753489,1.08051513,0.906017001,0.947016967,0.912686611,1.372202511
5/15/2015,0.009622559,0.004739499,0.013267816,0.006033944,0.004431674,0.004080543,-0.015078767,1.101224022,1.069799887,1.094851206,0.911483857,0.951213838,0.916410868,1.351511389
5/18/2015,0.020044399,0.026928564,0.016503457,0.02002904,0.019953104,0.020875552,0.001013652,1.123297396,1.098608062,1.112920036,0.929740004,0.970193506,0.935541451,1.352881351
5/19/2015,-0.006314179,-0.003441916,-0.007022794,-0.002305033,-0.002948873,0.001049735,0.031112628,1.116204695,1.094826745,1.105104228,0.927596922,0.967332529,0.936523522,1.394973045
5/20/2015,-0.001925093,0.006107656,-0.001543327,0.007320136,0.007839632,0.004799074,0.007948805,1.114055897,1.101513571,1.10339869,0.934387058,0.97491606,0.941017967,1.406061414
5/21/2015,0.009523853,0.005472286,0.010006187,0.010126334,0.011241557,0.014865847,0.025089655,1.124666002,1.107541368,1.114439504,0.943848973,0.985875635,0.955006996,1.44133901
5/22/2015,-0.01100905,-0.010622635,-0.009615841,-0.007825831,-0.009314063,-0.008958284,0.02007931,1.112284497,1.09577636,1.103723231,0.936462571,0.976693127,0.946451772,1.470280104
5/25/2015,-0.007607728,-0.003490644,0.004431555,-0.006871912,-0.009327434,-0.005999751,0.030156794,1.103822539,1.091951395,1.108614441,0.930027283,0.967583086,0.940773297,1.514619039
5/26/2015,0.001071598,0.001906391,0.000359807,0.001788354,0.005489818,0.003429973,0.024472222,1.105005393,1.094033081,1.109013328,0.931690501,0.972894941,0.944000125,1.551685132
5/27/2015,0.00306636,0.002798983,0.012100047,0.010736331,0.013938325,0.009956478,0.006482639,1.108393738,1.097095261,1.122432442,0.941693438,0.986455467,0.953399041,1.561744147
5/28/2015,0.003639635,0.003525072,0.002706703,-0.00067513,-0.000780784,-0.002743059,-0.069379791,1.112427886,1.100962601,1.125470533,0.941057673,0.985685258,0.950783811,1.453390664
5/29/2015,0.009666958,0.004551097,0.014199405,0.014085709,0.015581327,0.012238325,0.004351916,1.12318168,1.105973189,1.141451545,0.954313137,1.001043543,0.962419812,1.459715699
6/1/2015,0.020853466,0.015334212,0.019697574,0.00549978,0.004986557,0.005651111,0.054916376,1.146603911,1.122932416,1.163935371,0.959561649,1.006035303,0.967858554,1.539877996
6/2/2015,0.008064871,0.005089215,0.013701843,0.010074583,0.005041873,0.009169824,0.025614583,1.155851124,1.12864726,1.179883431,0.969228833,1.011107606,0.976733646,1.579321329
6/3/2015,-0.00885534,0.001237911,-0.014171855,0.006105107,0.006766926,0.000413739,-0.002508651,1.145615669,1.130044425,1.163162294,0.975146079,1.017949696,0.977137759,1.575359364
6/4/2015,0.007075677,0.013880959,0.005147453,0.009565901,0.009986476,0.00901114,0.005106897,1.153721675,1.145730526,1.169149617,0.98447423,1.028115426,0.985942884,1.583404561
6/5/2015,-0.006012825,-0.002335193,-0.002479912,-0.0104459,-0.01140869,-0.005688027,0.015246528,1.146784549,1.143055024,1.166250229,0.97419051,1.016385976,0.980334814,1.607545982
6/8/2015,-0.029264778,-0.021414619,-0.026445166,-0.017589557,-0.016935355,-0.017886155,0.010808362,1.113224154,1.118576936,1.135408548,0.957054931,0.999173119,0.962800394,1.624920922
6/9/2015,0.004250697,0.00344495,0.003198144,0.004494699,0.004955939,-0.001883917,-0.000409722,1.117956132,1.122430378,1.139039748,0.961356605,1.00412496,0.960986558,1.624255156
6/10/2015,0.026220722,0.02580675,0.020182504,0.024006073,0.018925325,0.025435337,0.006878472,1.147269749,1.151396658,1.162028423,0.984435001,1.023128351,0.985429575,1.63542755
6/11/2015,0.013997965,0.019191017,0.011941756,0.015045269,0.014270705,0.0179822,0.006114583,1.163329191,1.173493131,1.175905082,0.999246091,1.037729114,1.003149767,1.645427508
6/12/2015,0.003328418,-0.007653658,0.003616381,0.008456224,0.007882687,0.006627425,0.010041522,1.167201237,1.164511615,1.180157603,1.00769594,1.045909208,1.009798066,1.661950105
6/15/2015,-0.004774237,-0.018361698,-0.011141684,0.008424965,0.006909164,0.004382153,-0.018024055,1.161628741,1.143129205,1.16700866,1.016185743,1.053135566,1.014223156,1.631995025
6/16/2015,-0.012277541,-0.014285599,-0.011355615,0.003395244,0.006307874,0.002627679,-0.035167808,1.147366797,1.126798919,1.153756559,1.019635941,1.059778612,1.016888209,1.574601337
6/17/2015,-0.002377353,0.007686883,-0.001218911,-0.001693022,-0.00317083,-0.002019851,0.017812925,1.144639101,1.135460491,1.152350233,1.017909675,1.056418234,1.014834246,1.602649593
6/18/2015,0.000458352,-0.000963584,-0.004777011,0.011030295,0.009575062,0.008872232,-0.038440273,1.145163749,1.134366379,1.146845443,1.029137519,1.066533505,1.023838091,1.541043305
6/19/2015,6.41E-05,-0.006869117,0.00047676,0.005598293,0.006713955,0.005753907,-0.066387755,1.145237154,1.126574284,1.147392213,1.034898932,1.073694163,1.02972916,1.438736899
6/23/2015,-0.006367449,-0.001788103,-0.00100466,0.002807957,0.001332445,-0.000722321,0.028748299,1.137944914,1.124559853,1.146239474,1.037804884,1.075124801,1.028985365,1.480098138
6/24/2015,0.001276854,-0.001223755,-0.006663728,-0.00360064,-0.002575633,-0.005625383,0.024761092,1.139397904,1.123183667,1.138601246,1.034068122,1.072355674,1.023196929,1.516746985
6/25/2015,-0.00934525,-0.007104118,-0.011053102,-0.00399086,-0.004570965,-0.002498624,-0.041244068,1.128749946,1.115204438,1.12601617,1.029941301,1.067453974,1.020640344,1.454190169
6/26/2015,-0.005556571,-0.005283017,-0.00555983,-0.00710019,-0.008800243,-0.007847497,-0.085883959,1.122477967,1.109312794,1.119755712,1.022628522,1.058060119,1.012630872,1.32929856
6/29/2015,-0.008128776,-0.004577835,-0.019789747,-0.011882161,-0.014461164,-0.016083639,-0.047570447,1.113353595,1.104234543,1.097596029,1.010477486,1.042759339,0.996344083,1.266063234
6/30/2015,0.008141065,0.007812271,0.00704149,-0.004958081,-0.00549752,-0.004523161,0.068038194,1.122417479,1.112861123,1.105324741,1.005467456,1.037026748,0.991837458,1.35220389
7/1/2015,0.004069823,0.008203404,0.002808991,-0.004411928,-0.005109254,-0.001081228,-0.055395833,1.126985519,1.121990372,1.108429588,1.001031406,1.031728315,0.990765056,1.277297429
7/2/2015,-0.006431085,-0.004654766,-0.006946684,-0.017097694,-0.019281065,-0.023300764,-0.055388889,1.119737779,1.116767769,1.100729678,0.983916078,1.011835494,0.967679473,1.206549344
7/3/2015,0.036928444,0.036173431,0.040152014,0.01386496,0.012245605,0.010052513,-0.059491289,1.161087953,1.157165091,1.144926191,0.997558035,1.024226032,0.977407083,1.134770168
7/6/2015,0.006442692,0.004251477,0.006948428,-0.025452378,-0.03185273,-0.035499259,0.004691228,1.168568485,1.162084752,1.152881629,0.97216781,0.991601637,0.942709856,1.140093633
7/7/2015,-0.006801474,-0.018210395,-0.009709248,-0.014076564,-0.031374312,-0.035352751,-0.04752669,1.160620497,1.14092273,1.141688015,0.958483028,0.960490818,0.909382469,1.085908756
7/8/2015,0.018093194,0.017125976,0.017869211,0.012846561,0.011963562,0.017022924,-0.071303502,1.181619829,1.160462145,1.162089079,0.970796239,0.971981709,0.924862818,1.008479659
