Date,Title,Link,Id
25 Apr 2019,Constituent Changes in Hang Seng Family of Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190425T000000.pdf,bd19d36714
11 Apr 2019,"Hang Seng Stock Connect China AH Smart Index, Hang Seng China Enterprises Smart Index and Hang Seng Stock Connect Sector Top Index Monthly Share Class Switches Result",https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190411T163100.pdf,26af36764a
11 Apr 2019,Hang Seng CSI Shanghai-Hong Kong AH Smart Index Monthly Share Class Switches Result,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190411T163000.pdf,81819b4cbe
10 Apr 2019,Constituent Changes in Hang Seng Family of Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190410T000000.pdf,e3b8f7e10f
08 Apr 2019,Hang Seng Indexes Announces Next Index Review Date,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190408T000000.pdf,f93d24171e
28 Mar 2019,Changes to Hang Seng Industry Classification System,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190328T000000.pdf,5e02cc9e92
11 Mar 2019,Constituent Changes in Hang Seng Family of Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190311T000000.pdf,e8d910eda7
07 Mar 2019,"Hang Seng Stock Connect China AH Smart Index, Hang Seng China Enterprises Smart Index and Hang Seng Stock Connect Sector Top Index Monthly Share Class Switches Result",https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190307T161600.pdf,16cb2076a1
07 Mar 2019,Hang Seng CSI Shanghai-Hong Kong AH Smart Index Monthly Share Class Switches Result,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190307T161500.pdf,09f7857f28
01 Mar 2019,Renaming of Hang Seng Stock Connect Big Bay Area Composite Index and Hang Seng Stock Connect Hong Kong Big Bay Area Index,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190301T000000.pdf,b73e577d5e
22 Feb 2019,Index Review Results for Benchmark and Thematic Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190222T000100.xls,aa6549bc41
31 Jan 2019,"Hang Seng Stock Connect China AH Smart Index, Hang Seng China Enterprises Smart Index and Hang Seng Stock Connect Sector Top Index Monthly Share Class Switches Result",https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190131T161600.pdf,e17bc1bd17
31 Jan 2019,Hang Seng CSI Shanghai-Hong Kong AH Smart Index Monthly Share Class Switches Result,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190131T161500.pdf,7ab4f21663
25 Jan 2019,Constituent Changes in Hang Seng Family of Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190125T163100.pdf,ca8aeb22c2
