Date,High,Low,Open,Close,Volume,Adj Close
2019-07-29,6.75,6.599999904632568,6.650000095367432,6.610000133514404,1173000,6.610000133514404
2019-07-30,6.690000057220459,6.510000228881836,6.599999904632568,6.650000095367432,1388000,6.650000095367432
2019-07-31,6.610000133514404,6.46999979019165,6.610000133514404,6.559999942779541,684000,6.559999942779541
2019-08-01,6.71999979019165,6.400000095367432,6.519999980926514,6.550000190734863,1134000,6.550000190734863
2019-08-02,6.519999980926514,6.25,6.449999809265137,6.349999904632568,1469000,6.349999904632568
2019-08-05,6.349999904632568,5.900000095367432,6.349999904632568,6.210000038146973,995000,6.210000038146973
2019-08-06,6.179999828338623,5.739999771118164,6.130000114440918,6.139999866485596,1690000,6.139999866485596
2019-08-07,6.420000076293945,6.079999923706055,6.110000133514404,6.360000133514404,1521000,6.360000133514404
2019-08-08,6.570000171661377,6.260000228881836,6.369999885559082,6.360000133514404,2129000,6.360000133514404
2019-08-09,7.070000171661377,6.380000114440918,6.489999771118164,7.059999942779541,2056000,7.059999942779541
2019-08-12,7.329999923706055,7.039999961853027,7.059999942779541,7.210000038146973,2120000,7.210000038146973
2019-08-13,7.409999847412109,7.179999828338623,7.210000038146973,7.329999923706055,1395000,7.329999923706055
2019-08-14,7.480000019073486,6.880000114440918,7.389999866485596,7.039999961853027,2374373,7.039999961853027
2019-08-15,7.440000057220459,6.809999942779541,6.980000019073486,7.309999942779541,1133500,7.309999942779541
2019-08-16,7.559999942779541,7.289999961853027,7.360000133514404,7.510000228881836,2104000,7.510000228881836
2019-08-19,7.639999866485596,7.460000038146973,7.519999980926514,7.489999771118164,1223000,7.489999771118164
2019-08-20,8.300000190734863,7.489999771118164,7.489999771118164,8.279999732971191,2470000,8.279999732971191
2019-08-21,8.279999732971191,8.050000190734863,8.25,8.119999885559082,988000,8.119999885559082
2019-08-22,8.270000457763672,7.96999979019165,8.09000015258789,8.25,1085000,8.25
2019-08-23,8.40999984741211,8.180000305175781,8.220000267028809,8.279999732971191,1289000,8.279999732971191
2019-08-26,8.149999618530273,7.639999866485596,8.149999618530273,7.989999771118164,1611000,7.989999771118164
2019-08-27,8.399999618530273,8.020000457763672,8.09000015258789,8.210000038146973,2157526,8.210000038146973
2019-08-28,8.289999961853027,7.96999979019165,8.210000038146973,8.119999885559082,2223294,8.119999885559082
2019-08-29,8.229999542236328,7.869999885559082,8.100000381469727,8.210000038146973,3035575,8.210000038146973
2019-08-30,8.399999618530273,8.140000343322754,8.25,8.239999771118164,2194000,8.239999771118164
2019-09-02,8.270000457763672,7.920000076293945,8.180000305175781,8.010000228881836,3682000,8.010000228881836
2019-09-03,8.039999961853027,7.5,7.980000019073486,7.570000171661377,2081000,7.570000171661377
2019-09-04,7.559999942779541,7.130000114440918,7.559999942779541,7.400000095367432,3708000,7.400000095367432
2019-09-05,7.480000019073486,7.199999809265137,7.369999885559082,7.300000190734863,2980000,7.300000190734863
2019-09-06,7.5,7.289999961853027,7.349999904632568,7.409999847412109,3364000,7.409999847412109
2019-09-09,7.460000038146973,7.059999942779541,7.460000038146973,7.21999979019165,3097000,7.21999979019165
2019-09-10,7.28000020980835,6.940000057220459,7.199999809265137,7.139999866485596,4397000,7.139999866485596
2019-09-11,7.190000057220459,7.0,7.179999828338623,7.019999980926514,3507303,7.019999980926514
2019-09-12,7.019999980926514,6.800000190734863,7.019999980926514,6.920000076293945,3669000,6.920000076293945
2019-09-13,7.010000228881836,6.889999866485596,6.949999809265137,6.96999979019165,3509000,6.96999979019165
2019-09-16,7.170000076293945,6.690000057220459,7.03000020980835,6.820000171661377,3491000,6.820000171661377
2019-09-17,6.820000171661377,6.559999942779541,6.800000190734863,6.710000038146973,4234000,6.710000038146973
2019-09-18,6.980000019073486,6.690000057220459,6.690000057220459,6.829999923706055,3290000,6.829999923706055
2019-09-19,6.880000114440918,6.690000057220459,6.800000190734863,6.760000228881836,3430000,6.760000228881836
2019-09-20,7.0,6.639999866485596,6.739999771118164,6.989999771118164,5190000,6.989999771118164
2019-09-23,7.070000171661377,6.019999980926514,7.0,6.210000038146973,4388000,6.210000038146973
2019-09-24,6.150000095367432,5.820000171661377,6.150000095367432,6.099999904632568,4921000,6.099999904632568
2019-09-25,6.139999866485596,5.840000152587891,6.119999885559082,5.849999904632568,4612000,5.849999904632568
2019-09-26,5.960000038146973,5.730000019073486,5.920000076293945,5.949999809265137,3256000,5.949999809265137
2019-09-27,5.960000038146973,5.510000228881836,5.960000038146973,5.619999885559082,4834000,5.619999885559082
2019-09-30,6.059999942779541,5.599999904632568,5.650000095367432,6.059999942779541,4442000,6.059999942779541
2019-10-02,6.0,5.550000190734863,6.0,5.550000190734863,3686000,5.550000190734863
2019-10-03,5.599999904632568,5.329999923706055,5.5,5.599999904632568,4625000,5.599999904632568
2019-10-04,5.699999809265137,5.239999771118164,5.699999809265137,5.360000133514404,6068055,5.360000133514404
2019-10-08,5.820000171661377,5.380000114440918,5.409999847412109,5.800000190734863,5608000,5.800000190734863
2019-10-09,5.849999904632568,5.300000190734863,5.849999904632568,5.420000076293945,6016000,5.420000076293945
2019-10-10,5.550000190734863,5.400000095367432,5.400000095367432,5.550000190734863,997000,5.550000190734863
