Time,Title,Types,Number of reads,Comments,Author
09-17 08:55,平安银行：融资净买入8036.52万元，两市排名第15（09-,资讯,1099,0,财经评论
09-16 18:41,沪深两市09月16日55只个股发生93笔大宗交易 共成交15.,资讯,399,0,平安银行资讯
09-16 17:49,平安银行:关于平银转债转股数额累计达到转股前公司已,公告,11319,13,平安银行资讯
09-16 15:39,平安银行:关于“平银转债”赎回实施的第十八次公告,公告,5347,4,平安银行资讯
09-16 09:06,平安银行(000001)融资融券信息(09-12),资讯,1007,0,平安银行资讯
09-16 08:44,平安银行：融资净偿还377.71万元，融资余额40.29亿元,资讯,929,0,财经评论
09-15 16:25,平安银行:关于“平银转债”赎回实施的第十七次公告,公告,6051,3,平安银行资讯
09-12 18:09,沪深两市09月12日64只个股发生113笔大宗交易 共成交27,资讯,2619,1,平安银行资讯
09-12 09:25,平安银行(000001)融资融券信息(09-11),资讯,1403,0,平安银行资讯
09-12 09:22,平安银行：连续3日融资净买入累计1.95亿元（09-11）,资讯,1239,0,财经评论
09-11 18:15,沪深两市09月11日51只个股发生71笔大宗交易 共成交13.,资讯,2037,0,平安银行资讯
09-11 17:07,平安银行:关于“平银转债”赎回实施的第十六次公告,公告,5648,9,平安银行资讯
09-11 09:08,平安银行(000001)融资融券信息(09-10),资讯,1174,0,平安银行资讯
09-11 08:49,平安银行：融资净买入9483.42万元，两市排名第14（09-,资讯,1177,0,财经评论
09-10 19:00,沪深两市09月10日68只个股发生125笔大宗交易 共成交25,资讯,2037,0,平安银行资讯
09-10 16:35,平安银行:关于“平银转债”赎回实施的第十五次公告,公告,5814,7,平安银行资讯
09-10 09:15,平安银行(000001)融资融券信息(09-09),资讯,1404,0,平安银行资讯
09-10 08:55,平安银行：融资净买入8425.87万元，融资余额39.22亿元,资讯,970,0,财经评论
09-09 19:47,沪深两市09月09日70只个股发生134笔大宗交易 共成交29,资讯,2089,0,平安银行资讯
09-09 18:33,平安银行(000001)融资融券信息(09-06),资讯,1320,0,平安银行资讯
09-09 18:13,平安银行：连续9日融资净偿还累计4.05亿元（09-06）,资讯,1133,0,财经评论
09-09 15:44,平安银行:关于“平银转债”赎回实施的第十四次公告,公告,6859,12,平安银行资讯
09-06 20:16,沪深两市09月06日48只个股发生75笔大宗交易 共成交24.,资讯,4167,0,平安银行资讯
09-06 11:16,平安银行：连续8日融资净偿还累计3.96亿元（09-05）,资讯,1177,0,财经评论
09-06 10:07,平安银行(000001)融资融券信息(09-05),资讯,1628,0,平安银行资讯
09-05 18:33,沪深两市09月05日59只个股发生85笔大宗交易 共成交25.,资讯,1912,0,平安银行资讯
09-05 15:52,平安银行:关于“平银转债”赎回实施的第十三次公告,公告,4688,0,平安银行资讯
09-05 09:18,平安银行(000001)融资融券信息(09-04),资讯,1350,0,平安银行资讯
09-05 08:56,平安银行：连续7日融资净偿还累计3.73亿元（09-04）,资讯,1087,0,财经评论
09-04 18:17,沪深两市09月04日41只个股发生69笔大宗交易 共成交17.,资讯,2661,0,平安银行资讯
09-04 18:05,富人财富狂增！私行重回高增长：平安激增34% 招行民生,资讯,8628,3,招商银行资讯
09-04 17:18,平安银行:关于“平银转债”赎回实施的第十二次公告,公告,3923,1,平安银行资讯
09-04 09:16,平安银行：融资净偿还4997.44万元，两市排名第12（09-,资讯,931,0,财经评论
09-04 08:53,平安银行(000001)融资融券信息(09-03),资讯,1360,0,平安银行资讯
09-03 18:17,沪深两市09月03日49只个股发生78笔大宗交易 共成交17.,资讯,1622,0,平安银行资讯
09-03 16:07,平安银行:关于“平银转债”赎回实施的第十一次公告,公告,4657,3,平安银行资讯
09-03 12:16,月薪5.6万！平安银行又涨工资了 税前收入六大行垫底 ,资讯,11.5万,204,平安银行资讯
09-03 09:26,平安银行(000001)融资融券信息(09-02),资讯,1307,0,平安银行资讯
09-03 09:12,平安银行：融资净偿还4143.97万元，两市排名第19（09-,资讯,937,0,财经评论
09-02 18:39,沪深两市09月02日40只个股发生94笔大宗交易 共成交22.,资讯,2120,0,平安银行资讯
09-02 17:34,平安银行:关于“平银转债”赎回实施的第十次公告,公告,4548,0,平安银行资讯
09-02 09:15,平安银行：融资净偿还1.03亿元，两市排名第五（08-30,资讯,970,0,财经评论
09-02 08:52,平安银行(000001)融资融券信息(08-30),资讯,1495,0,平安银行资讯
