date,PX_OPEN,PX_LAST
2015-01-05,28.92,29.48
2015-01-06,29.5,30.79
2015-01-07,31.53,30.99
2015-01-08,30.99,31.3
2015-01-09,31.4,30.48
2015-01-12,30.3,30.55
2015-01-13,30.9,31.64
2015-01-14,31.95,31.49
2015-01-15,31.39,31.65
2015-01-16,31.69,31.75
2015-01-19,30.0,29.23
2015-01-20,29.51,29.74
2015-01-21,29.61,30.57
2015-01-22,30.58,32.4
2015-01-23,32.43,31.62
2015-01-26,32.1,32.43
2015-01-27,32.88,32.44
2015-01-28,32.45,31.41
2015-01-29,31.17,31.26
2015-01-30,31.56,31.22
2015-02-02,31.24,31.31
2015-02-03,31.35,31.37
2015-02-04,31.4,31.62
2015-02-05,32.0,30.78
2015-02-06,30.8,30.0
2015-02-09,29.7,30.1
2015-02-10,30.38,30.43
2015-02-11,30.43,30.82
2015-02-12,30.8,30.55
2015-02-13,30.75,30.67
2015-02-16,30.71,31.33
2015-02-17,31.46,31.37
2015-02-25,31.68,31.6
2015-02-26,31.6,31.94
2015-02-27,32.01,32.74
2015-03-02,33.07,32.93
2015-03-03,32.81,32.58
2015-03-04,32.86,33.2
2015-03-05,33.3,32.31
2015-03-06,32.4,31.91
2015-03-09,31.93,32.29
2015-03-10,32.25,32.29
2015-03-11,32.21,31.92
2015-03-12,32.3,31.91
2015-03-13,31.92,31.81
2015-03-16,32.01,32.71
2015-03-17,32.9,33.3
2015-03-18,33.29,35.86
2015-03-19,36.0,35.18
2015-03-20,35.2,34.99
2015-03-23,35.15,35.71
2015-03-24,36.0,36.13
2015-03-25,35.81,35.27
2015-03-26,35.33,35.8
2015-03-27,36.02,35.8
2015-03-30,36.19,36.88
2015-03-31,37.34,38.49
2015-04-01,38.31,40.1
2015-04-02,39.7,40.43
2015-04-03,39.84,40.73
2015-04-07,40.73,40.09
2015-04-08,40.07,39.1
2015-04-09,39.18,38.34
2015-04-10,38.34,42.09
2015-04-13,42.2,42.74
2015-04-14,41.55,43.04
2015-04-15,44.38,42.79
2015-04-16,42.44,43.49
2015-04-17,43.63,47.3
2015-04-20,46.9,52.03
2015-04-21,52.48,50.81
2015-04-22,51.2,52.66
2015-04-23,53.0,51.67
2015-04-24,52.0,54.25
2015-04-27,55.1,55.83
2015-04-28,55.55,51.98
2015-04-29,51.99,53.69
2015-04-30,53.7,53.74
2015-05-04,54.51,54.99
2015-05-05,55.0,52.11
2015-05-06,53.0,51.83
2015-05-07,51.8,51.46
2015-05-08,52.18,52.83
2015-05-11,53.4,54.16
2015-05-12,54.2,59.58
2015-05-13,60.72,57.82
2015-05-14,57.93,57.47
2015-05-15,57.49,59.39
2015-05-18,59.0,61.63
2015-05-19,61.65,61.35
2015-05-20,61.9,64.11
2015-05-21,66.16,65.71
2015-05-22,65.71,67.65
2015-05-25,67.4,72.82
2015-05-26,74.92,79.73
2015-05-27,80.08,77.96
2015-05-28,76.8,70.16
2015-05-29,69.49,70.29
2015-06-01,70.6,73.22
2015-06-02,72.95,75.36
2015-06-03,75.8,71.95
2015-06-04,71.95,70.33
2015-06-05,71.14,71.83
2015-06-08,71.72,69.39
2015-06-09,69.39,70.51
2015-06-10,69.2,70.16
2015-06-11,69.95,71.55
2015-06-12,72.8,71.53
2015-06-15,72.6,70.39
2015-06-16,69.76,63.35
2015-06-17,62.0,61.99
2015-06-18,61.99,58.43
2015-06-19,58.8,60.16
2015-06-23,60.88,66.18
2015-06-24,67.18,67.8
2015-06-25,66.67,64.44
2015-06-26,61.07,58.0
2015-06-29,60.0,52.2
2015-06-30,49.99,53.15
2015-07-01,52.5,47.84
2015-07-02,46.19,43.06
2015-07-03,38.76,38.75
2015-07-06,42.63,34.88
2015-07-07,32.36,31.39
2015-07-08,28.25,28.34
2015-07-09,28.4,31.17
2015-07-10,34.29,34.29
2015-07-13,37.72,37.72
2015-07-14,41.49,41.49
2015-07-15,42.56,43.14
2015-07-16,42.87,46.18
2015-07-17,46.55,50.8
2015-07-20,53.5,55.88
2015-07-21,55.33,54.6
2015-07-22,55.05,60.06
2015-07-23,61.19,61.87
2015-07-24,60.0,61.89
2015-07-27,59.65,55.7
2015-07-28,50.55,53.54
2015-07-29,55.54,58.89
2015-07-30,58.94,59.56
2015-07-31,58.6,53.6
2015-08-03,51.05,48.28
2015-08-04,48.48,53.11
2015-08-05,55.0,53.56
2015-08-06,51.5,51.7
2015-08-07,52.81,54.73
2015-08-10,56.47,59.49
2015-08-11,59.62,59.21
2015-08-12,63.0,60.05
2015-08-13,58.58,60.66
2015-08-14,60.72,59.99
2015-08-17,59.97,59.69
2015-08-18,59.45,53.72
2015-08-19,51.28,53.93
2015-08-20,52.99,48.8
2015-08-21,48.2,48.94
2015-08-24,46.5,44.05
2015-08-25,39.65,39.65
2015-08-26,40.2,35.69
2015-08-27,36.8,39.26
2015-08-28,41.44,43.19
2015-08-31,46.0,47.41
2015-09-01,45.5,43.56
2015-09-02,39.25,41.39
2015-09-07,42.0,38.0
2015-09-08,36.01,38.52
2015-09-09,39.39,38.64
2015-09-10,37.1,39.21
2015-09-11,38.48,38.38
2015-09-14,38.98,38.02
2015-09-15,36.61,34.75
2015-09-16,34.76,38.01
2015-09-17,38.4,37.2
2015-09-18,37.61,37.02
2015-09-21,37.05,39.47
2015-09-22,40.0,38.85
2015-09-23,37.97,38.82
2015-09-24,38.92,41.07
2015-09-25,40.5,39.39
2015-09-28,39.5,39.99
2015-09-29,39.5,38.61
2015-09-30,39.33,40.86
2015-10-14,44.95,44.95
2015-10-15,48.5,49.45
2015-10-16,50.0,51.5
2015-10-19,51.41,48.61
2015-10-20,47.64,49.0
2015-10-21,49.16,48.12
2015-10-22,47.9,51.88
2015-10-23,51.8,50.97
2015-10-26,51.2,50.13
2015-10-27,50.0,52.18
2015-10-28,52.19,49.02
2015-10-29,49.55,49.02
2015-10-30,49.24,48.76
2015-11-02,48.98,47.99
2015-11-03,48.48,48.33
2015-11-04,49.5,50.17
2015-11-05,50.1,48.9
2015-11-06,48.95,50.3
2015-11-09,49.9,49.8
2015-11-10,49.64,50.2
2015-11-11,50.79,49.99
2015-11-12,50.08,50.42
2015-11-13,50.99,50.57
2015-11-16,49.8,50.98
2015-11-17,51.38,53.0
2015-11-18,52.6,50.89
2015-11-19,50.95,51.85
2015-11-20,52.29,52.48
2015-11-23,52.7,51.09
2015-11-24,50.95,50.21
2015-11-25,52.03,50.91
2015-11-26,50.6,51.06
2015-11-27,51.4,46.89
2015-11-30,46.95,45.75
2015-12-01,45.81,45.3
2015-12-02,45.39,44.58
2015-12-03,44.68,45.86
2015-12-04,45.88,44.88
2015-12-07,44.72,45.61
2015-12-08,45.25,43.81
2015-12-09,43.2,44.56
2015-12-10,44.0,43.7
2015-12-11,43.74,44.59
2015-12-14,44.0,46.82
2015-12-15,46.69,47.23
2015-12-16,47.25,46.54
2015-12-17,47.2,46.96
2015-12-18,47.0,46.6
2015-12-21,46.56,46.89
2015-12-22,46.93,47.02
2015-12-23,47.02,46.49
2015-12-24,46.61,44.95
2015-12-25,44.95,45.29
2015-12-28,45.1,43.94
2015-12-29,44.0,44.46
2015-12-30,44.46,46.09
2015-12-31,46.0,45.03
2016-01-04,46.06,42.03
2016-01-05,40.0,42.31
2016-01-06,42.25,42.87
2016-01-07,42.0,38.58
2016-01-08,39.23,38.43
2016-01-11,36.95,34.65
2016-01-12,34.59,34.71
2016-01-13,35.0,32.39
2016-01-14,31.0,35.63
2016-01-15,35.63,36.72
2016-01-18,35.55,37.99
2016-01-19,37.89,40.55
2016-01-20,40.5,41.15
2016-01-21,40.35,38.45
2016-01-22,39.3,39.98
2016-01-25,40.5,40.09
2016-01-26,39.15,36.08
2016-01-27,36.2,39.29
2016-01-28,37.79,35.7
2016-01-29,35.3,35.71
2016-02-01,35.45,34.37
2016-02-02,35.0,35.76
2016-02-03,35.03,35.77
2016-02-04,36.15,36.97
2016-02-05,36.97,36.84
2016-02-15,35.45,36.97
2016-02-16,37.08,38.43
2016-02-17,38.9,39.43
2016-02-18,39.85,38.62
2016-02-19,38.51,39.13
2016-02-22,39.9,39.54
2016-02-23,39.7,38.9
2016-02-24,38.69,39.33
2016-02-25,39.4,35.46
2016-02-26,36.2,36.5
2016-02-29,35.97,35.04
2016-03-01,35.31,36.72
2016-03-02,36.72,39.01
