date,PX_OPEN,PX_LAST
2015-06-09,,3.39
2015-06-10,4.07,4.88
2015-06-11,5.37,5.37
2015-06-12,5.91,5.91
2015-06-15,6.5,6.5
2015-06-16,7.15,7.15
2015-06-17,7.87,7.87
2015-06-18,8.66,8.66
2015-06-19,9.53,9.53
2015-06-23,10.48,10.48
2015-06-24,11.53,11.53
2015-06-25,12.68,12.68
2015-06-26,13.95,13.95
2015-06-29,13.7,13.23
2015-06-30,12.8,13.07
2015-07-01,12.6,13.32
2015-07-02,12.25,11.99
2015-07-03,11.25,10.79
2015-07-06,11.87,10.12
2015-07-07,9.31,9.11
2015-07-08,8.2,8.2
2015-07-09,7.38,9.02
2015-07-10,9.08,9.92
2015-07-13,10.68,10.91
2015-07-14,11.32,11.52
2015-07-15,10.98,10.37
2015-07-16,9.9,10.86
2015-07-17,10.95,11.51
2015-07-20,11.45,11.36
2015-07-21,11.02,12.18
2015-07-22,11.88,11.91
2015-07-23,11.8,12.18
2015-07-24,12.18,11.7
2015-07-27,11.34,10.53
2015-07-28,9.7,10.01
2015-07-29,10.23,10.72
2015-07-30,10.5,10.85
2015-07-31,10.58,10.51
2015-08-03,10.28,10.31
2015-08-04,10.5,11.05
2015-08-05,10.9,10.66
2015-08-06,10.38,10.77
2015-08-07,10.9,11.12
2015-08-10,11.65,12.23
2015-08-11,12.3,12.19
2015-08-12,11.84,11.83
2015-08-13,11.71,12.24
2015-08-14,12.33,11.92
2015-08-17,11.7,11.73
2015-08-18,11.66,10.56
2015-08-19,10.12,10.68
2015-08-20,10.49,10.17
2015-08-21,10.04,9.99
2015-08-24,9.61,8.99
2015-08-25,8.18,8.09
2015-08-26,8.18,8.04
2015-08-27,8.33,8.7
2015-08-28,8.83,9.47
2015-08-31,9.48,9.08
2015-09-01,9.0,8.41
2015-09-02,7.95,8.16
2015-09-07,8.4,8.34
2015-09-08,8.36,9.17
2015-09-09,9.28,9.37
2015-09-10,9.16,9.38
2015-09-11,9.31,9.32
2015-09-14,9.4,8.43
2015-09-15,8.3,8.37
2015-09-16,8.43,9.21
2015-09-17,9.2,9.04
2015-09-18,9.17,9.16
2015-09-21,9.16,9.7
2015-09-22,9.77,9.6
2015-09-23,9.41,9.41
2015-09-24,9.48,9.59
2015-09-25,9.49,9.2
2015-09-28,9.28,9.22
2015-09-29,9.06,8.94
2015-09-30,9.01,9.07
2015-10-08,9.49,9.55
2015-10-09,9.5,9.66
2015-10-12,9.69,10.59
2015-10-13,10.3,10.76
2015-10-14,10.68,10.5
2015-10-15,10.51,10.81
2015-10-16,10.9,10.9
2015-10-19,11.22,11.3
2015-10-20,11.35,11.46
2015-10-21,11.5,10.46
2015-10-22,10.62,10.79
2015-10-23,10.88,10.76
2015-10-26,10.88,10.65
2015-10-27,10.5,10.54
2015-10-28,10.4,10.26
2015-10-29,10.32,10.35
2015-10-30,10.33,10.36
2015-11-02,10.16,10.12
2015-11-03,10.18,10.09
2015-11-04,10.08,10.58
2015-11-05,10.55,10.96
2015-11-06,10.9,10.99
2015-11-09,10.88,11.17
2015-11-10,11.03,10.99
2015-11-11,10.94,11.0
2015-11-12,11.02,11.21
2015-11-13,11.1,10.78
2015-11-16,10.63,10.77
2015-11-17,10.85,10.65
2015-11-18,10.65,10.33
2015-11-19,10.35,10.46
2015-11-20,10.47,10.55
2015-11-23,10.53,10.41
2015-11-24,10.35,10.35
2015-11-25,10.33,10.49
2015-11-26,10.49,10.33
2015-11-27,10.26,9.62
2015-11-30,9.63,9.54
2015-12-01,9.55,9.61
2015-12-02,9.62,9.86
2015-12-03,9.79,9.92
2015-12-04,9.8,9.73
2015-12-07,9.71,9.76
2015-12-08,9.7,9.44
2015-12-09,9.36,9.48
2015-12-10,9.48,9.5
2015-12-11,9.45,9.45
2015-12-14,9.37,9.75
2015-12-15,9.74,9.74
2015-12-16,9.79,9.77
2015-12-17,10.05,9.93
2015-12-18,9.91,9.96
2015-12-21,9.89,9.98
2015-12-22,10.03,9.92
2015-12-23,9.9,9.78
2015-12-24,9.77,9.63
2015-12-25,9.65,9.66
2015-12-28,9.67,9.46
2015-12-29,9.46,9.5
2015-12-30,9.52,9.49
2015-12-31,9.49,9.54
2016-01-04,9.53,8.76
2016-01-05,8.5,8.84
2016-01-06,8.86,8.99
2016-01-07,8.87,8.24
2016-01-08,8.52,8.44
2016-01-11,8.31,8.08
2016-01-12,8.18,8.25
2016-01-13,8.26,7.99
2016-01-14,7.82,8.13
2016-01-15,8.09,7.87
2016-01-18,7.74,7.85
2016-01-19,7.86,8.17
2016-01-20,8.1,8.1
2016-01-21,8.05,7.86
2016-01-22,7.97,7.9
2016-01-25,7.93,7.91
2016-01-26,7.84,7.25
2016-01-27,7.29,7.12
2016-01-28,7.08,6.88
2016-01-29,6.88,7.08
2016-02-01,7.06,6.9
2016-02-02,6.89,7.09
2016-02-03,7.01,7.04
2016-02-04,7.06,7.13
2016-02-05,7.14,7.07
2016-02-15,6.83,6.9399999999999995
2016-02-16,6.96,7.19
2016-02-17,7.18,7.28
2016-02-18,7.29,7.24
2016-02-19,7.22,7.23
2016-02-22,7.29,7.39
2016-02-23,7.39,7.47
2016-02-24,7.4,7.45
2016-02-25,7.43,6.87
2016-02-26,6.95,6.99
2016-02-29,6.97,6.8
2016-03-01,6.83,6.91
2016-03-02,6.91,7.2
2016-03-03,7.18,7.17
2016-03-04,7.15,7.27
2016-03-07,7.27,7.29
2016-03-08,7.27,7.25
2016-03-09,7.1,7.22
2016-03-10,7.15,7.03
2016-03-11,6.93,7.07
2016-03-14,7.12,7.19
2016-03-15,7.16,7.3
2016-03-16,7.25,7.3
2016-03-17,7.32,7.34
2016-03-18,7.39,7.44
2016-03-21,7.51,7.57
2016-03-22,7.53,7.8
2016-03-23,7.7,7.71
2016-03-24,7.72,7.73
2016-03-25,7.62,7.89
2016-03-28,7.96,7.77
2016-03-29,7.74,7.57
2016-03-30,7.63,7.78
2016-03-31,7.82,7.72
2016-04-01,7.74,7.71
2016-04-05,7.71,7.8
2016-04-06,7.8,7.79
2016-04-07,7.82,7.68
2016-04-08,7.62,7.53
2016-04-11,7.5600000000000005,7.65
2016-04-12,7.65,7.5600000000000005
2016-04-13,7.6,7.64
2016-04-14,7.6899999999999995,7.68
2016-04-15,7.68,7.62
2016-04-18,7.58,7.47
2016-04-19,7.52,7.46
2016-04-20,7.49,7.22
2016-04-21,7.16,7.11
2016-04-22,7.08,7.13
2016-04-25,7.11,7.08
2016-04-26,7.08,7.12
2016-04-27,7.13,7.09
2016-04-28,7.09,7.13
2016-04-29,7.09,7.08
2016-05-03,7.08,7.18
2016-05-04,7.15,7.17
2016-05-05,7.13,7.14
2016-05-06,7.15,6.96
2016-05-09,6.95,6.76
2016-05-10,6.74,6.8100000000000005
2016-05-11,6.82,6.77
2016-05-12,6.73,6.76
2016-05-13,6.73,6.74
2016-05-16,6.73,6.79
2016-05-17,6.77,6.75
2016-05-18,6.71,6.64
2016-05-19,6.64,6.64
2016-05-20,6.61,6.65
2016-05-23,6.65,6.68
2016-05-24,6.67,6.83
2016-05-25,6.82,6.78
2016-05-26,6.76,6.75
2016-05-27,6.73,6.72
2016-05-30,6.7,6.75
2016-05-31,6.75,6.93
2016-06-01,6.92,6.9
2016-06-02,6.9,6.9
2016-06-03,6.91,7.03
2016-06-06,7.04,6.93
2016-06-07,6.9,6.88
2016-06-08,6.86,6.87
2016-06-13,6.8,6.66
2016-06-14,6.67,6.68
2016-06-15,6.6,6.75
2016-06-16,6.72,6.91
2016-06-17,6.86,6.87
2016-06-20,6.83,6.86
2016-06-21,6.89,6.76
2016-06-22,6.76,6.8100000000000005
2016-06-23,6.89,6.83
2016-06-24,6.85,6.7
2016-06-27,6.6899999999999995,6.79
2016-06-28,6.75,6.79
2016-06-29,6.8100000000000005,6.88
2016-06-30,6.88,6.83
2016-07-01,6.84,6.84
2016-07-04,6.8100000000000005,6.91
2016-07-05,6.91,7.1
2016-07-06,7.05,7.03
2016-07-07,7.02,6.98
2016-07-08,6.98,6.96
2016-07-11,6.97,6.96
2016-07-12,6.96,7.06
2016-07-13,7.0,7.02
2016-07-14,7.0,6.98
2016-07-15,7.01,7.02
2016-07-18,7.01,6.97
2016-07-19,6.95,7.02
2016-07-20,6.99,6.96
2016-07-21,6.96,6.97
2016-07-22,6.96,6.89
2016-07-25,6.88,6.86
2016-07-26,6.87,6.93
2016-07-27,6.93,6.83
2016-07-28,6.78,6.8
2016-07-29,6.8,6.76
2016-08-01,6.74,6.66
2016-08-02,6.64,6.6899999999999995
2016-08-03,6.68,6.7
2016-08-04,6.7,6.71
2016-08-05,6.71,6.68
2016-08-08,6.67,6.72
2016-08-09,6.71,6.75
2016-08-10,6.74,6.74
2016-08-11,6.73,6.6899999999999995
2016-08-12,6.6899999999999995,6.76
2016-08-15,6.75,6.88
2016-08-16,6.89,6.9
2016-08-17,6.92,6.87
2016-08-18,6.87,6.86
2016-08-19,6.87,6.92
2016-08-22,6.91,6.83
2016-08-23,6.8100000000000005,6.83
2016-08-24,6.84,6.8
2016-08-25,6.78,6.76
