date,PX_OPEN,PX_LAST
2015-01-05,3.38,3.46
2015-01-06,3.41,3.49
2015-01-07,3.4699999999999998,3.48
2015-01-08,3.4699999999999998,3.41
2015-01-09,3.41,3.33
2015-01-12,3.31,3.22
2015-01-13,3.21,3.27
2015-01-14,3.26,3.19
2015-01-15,3.19,3.26
2015-01-16,3.26,3.29
2015-01-19,3.16,3.01
2015-01-20,3.04,3.1
2015-01-21,3.1,3.19
2015-01-22,3.18,3.19
2015-01-23,3.19,3.15
2015-01-26,3.14,3.19
2015-01-27,3.18,3.2
2015-01-28,3.19,3.16
2015-01-29,3.11,3.13
2015-01-30,3.13,3.11
2015-02-02,3.06,3.04
2015-02-03,3.05,3.08
2015-02-04,3.08,3.05
2015-02-05,3.09,3.0
2015-02-06,2.99,2.87
2015-02-09,2.87,2.8
2015-02-10,2.81,2.86
2015-02-11,2.87,3.01
2015-02-12,2.98,3.04
2015-02-13,3.04,3.04
2015-02-16,3.04,3.09
2015-02-17,3.09,3.09
2015-02-25,3.09,3.06
2015-02-26,3.06,3.09
2015-02-27,3.08,3.16
2015-03-02,3.16,3.18
2015-03-03,3.16,3.1
2015-03-04,3.09,3.26
2015-03-05,3.25,3.21
2015-03-06,3.2,3.15
2015-03-09,3.14,3.16
2015-03-10,3.15,3.17
2015-03-11,3.16,3.12
2015-03-12,3.14,3.13
2015-03-13,3.13,3.14
2015-03-16,3.15,3.22
2015-03-17,3.22,3.54
2015-03-18,3.64,3.89
2015-03-19,3.89,3.83
2015-03-20,3.83,3.94
2015-03-23,4.02,4.04
2015-03-24,4.04,4.24
2015-03-25,4.21,4.13
2015-03-26,4.11,4.01
2015-03-27,4.01,4.04
2015-03-30,4.06,4.1
2015-03-31,4.12,4.03
2015-04-01,4.01,4.1
2015-04-02,4.1,4.14
2015-04-03,4.13,4.15
2015-04-07,4.17,4.29
2015-04-08,4.31,4.21
2015-04-09,4.21,4.1
2015-04-10,4.16,4.24
2015-04-13,4.25,4.66
2015-04-14,4.75,4.9
2015-04-15,4.89,4.42
2015-04-16,4.33,4.5
2015-04-17,4.54,4.47
2015-04-20,4.5,4.63
2015-04-21,4.64,4.83
2015-04-22,4.83,4.82
2015-04-23,4.88,4.76
2015-04-24,4.7,4.61
2015-04-27,4.64,4.6899999999999995
2015-04-28,4.6899999999999995,4.52
2015-04-29,4.49,4.58
2015-04-30,4.55,4.52
2015-05-04,4.55,4.72
2015-05-05,4.75,4.59
2015-05-06,4.57,4.43
2015-05-07,4.35,4.13
2015-05-08,4.19,4.28
2015-05-11,4.34,4.4
2015-05-12,4.4,4.39
2015-05-13,4.37,4.29
2015-05-14,4.28,4.43
2015-05-15,4.39,4.26
2015-05-18,4.22,4.21
2015-05-19,4.2,4.29
2015-05-20,4.3,4.3
2015-05-21,4.31,4.32
2015-05-22,4.35,4.63
2015-05-25,4.65,4.72
2015-05-26,4.75,4.87
2015-05-27,4.87,4.9399999999999995
2015-05-28,4.95,5.16
2015-05-29,5.21,5.04
2015-06-01,5.05,5.39
2015-06-02,5.39,5.4
2015-06-03,5.43,5.23
2015-06-04,5.22,5.1
2015-06-05,5.15,5.13
2015-06-08,5.14,5.23
2015-06-09,5.21,5.26
2015-06-10,5.18,5.25
2015-06-11,5.2,5.19
2015-06-12,5.19,5.26
2015-06-15,5.25,5.35
2015-06-16,5.28,5.1
2015-06-17,5.07,5.14
2015-06-19,5.1,5.16
2015-06-23,5.18,5.3
2015-06-24,5.3,5.74
2015-06-25,5.65,5.46
2015-06-26,5.3,4.97
2015-06-29,5.18,4.8100000000000005
2015-06-30,4.88,5.19
2015-07-01,5.18,4.92
2015-07-02,5.0,4.51
2015-07-03,4.3,4.06
2015-07-06,4.46,4.04
2015-07-07,3.94,3.64
2015-07-13,4.0,4.0
2015-07-14,4.4,4.4
2015-07-15,4.75,4.02
2015-07-16,4.0,4.09
2015-07-17,4.11,4.32
2015-07-20,4.33,4.3
2015-07-21,4.2,4.26
2015-07-22,4.24,4.21
2015-07-23,4.2,4.32
2015-07-24,4.29,4.2
2015-07-27,4.09,3.7800000000000002
2015-07-28,3.58,3.69
2015-07-29,3.7199999999999998,3.89
2015-07-30,3.84,3.71
2015-07-31,3.63,3.7
2015-08-03,3.65,3.64
2015-08-04,3.63,3.81
2015-08-05,3.79,3.69
2015-08-06,3.62,3.64
2015-08-07,3.67,3.77
2015-08-10,3.77,3.91
2015-08-11,3.91,3.95
2015-08-12,3.88,3.86
2015-08-13,3.85,3.96
2015-08-14,3.96,3.96
2015-08-17,3.94,4.14
2015-08-18,4.14,3.79
2015-08-19,3.7,3.93
2015-08-20,4.08,3.87
2015-08-21,3.7800000000000002,3.66
2015-08-24,3.52,3.29
2015-08-25,2.98,2.96
2015-08-26,3.0,2.89
2015-08-27,2.96,3.02
2015-08-28,3.05,3.19
2015-08-31,3.15,3.07
2015-09-01,3.06,3.16
