date,PX_OPEN,PX_LAST
2015-01-05,7.586,8.034
2015-01-06,7.931,8.062
2015-01-07,8.103,7.979
2015-01-08,7.993,7.807
2015-01-09,7.814,7.841
2015-01-12,7.786,7.531
2015-01-13,7.517,7.607
2015-01-14,7.586,7.531
2015-01-15,7.517,7.828
2015-01-16,7.807,7.828
2015-01-19,7.393,7.2620000000000005
2015-01-20,7.2620000000000005,7.428
2015-01-21,7.441,7.697
2015-01-22,7.6899999999999995,7.883
2015-01-23,7.897,7.89
2015-01-26,7.855,8.007
2015-01-27,8.007,7.897
2015-01-28,7.855,7.834
2015-01-29,7.759,7.772
2015-01-30,7.772,7.6690000000000005
2015-02-02,7.607,7.462
2015-02-03,7.483,7.531
2015-02-04,7.572,7.497
2015-02-05,7.586,7.455
2015-02-06,7.441,7.255
2015-02-09,7.248,7.103
2015-02-10,7.103,7.214
2015-02-11,7.207,7.241
2015-02-12,7.234,7.29
2015-02-13,7.324,7.4
2015-02-16,7.407,7.476
2015-02-17,7.483,7.6899999999999995
2015-02-25,7.607,7.593
2015-02-26,7.593,7.724
2015-02-27,7.724,7.876
2015-03-02,7.966,7.855
2015-03-03,7.841,7.6
2015-03-04,7.593,7.655
2015-03-05,7.655,7.6
2015-03-06,7.572,7.593
2015-03-09,7.559,7.683
2015-03-10,7.655,7.821
2015-03-11,7.821,7.8
2015-03-12,7.807,7.724
2015-03-13,7.7379999999999995,7.897
2015-03-16,8.0,8.076
2015-03-17,8.097,8.6
2015-03-18,8.6,8.538
2015-03-19,8.503,8.414
2015-03-20,8.414,8.483
2015-03-23,8.49,8.538
2015-03-24,8.531,8.434
2015-03-25,8.538,8.566
2015-03-26,8.497,8.614
2015-03-27,8.586,8.697
2015-03-30,8.786,9.062
2015-03-31,9.09,8.841
2015-04-01,8.848,8.959
2015-04-02,8.986,8.924
2015-04-03,8.862,9.207
2015-04-07,9.228,9.434
2015-04-08,9.414,9.248
2015-04-09,9.255,8.959
2015-04-10,8.959,9.2
2015-04-13,9.193,9.366
2015-04-14,9.359,9.648
2015-04-15,9.614,9.421
2015-04-16,9.31,9.848
2015-04-17,10.028,9.972
2015-04-20,10.007,9.89
2015-04-21,9.952,10.303
2015-04-22,10.386,10.448
2015-04-23,10.462,10.331
2015-04-24,10.076,10.117
2015-04-27,10.138,10.372
2015-04-28,10.393,10.021
2015-04-29,9.966,10.228
2015-04-30,10.366,10.29
2015-05-04,10.475999999999999,10.897
2015-05-05,10.676,10.255
2015-05-06,10.262,10.193
2015-05-07,10.076,9.938
2015-05-08,9.931000000000001,10.559
2015-05-11,10.621,10.745
2015-05-12,10.759,10.655
2015-05-13,10.641,10.538
2015-05-14,10.545,10.566
2015-05-15,10.559,10.483
2015-05-18,10.421,10.166
2015-05-19,10.166,10.497
2015-05-20,10.593,10.545
2015-05-21,10.469,10.966
2015-05-22,11.138,11.475999999999999
2015-05-25,11.4,12.345
2015-05-26,12.428,12.407
2015-05-27,12.414,12.917
2015-05-28,12.766,11.897
2015-05-29,11.931000000000001,11.959
2015-06-01,12.0,13.152
2015-06-02,13.152,13.793
2015-06-03,13.586,13.6
2015-06-04,13.372,13.207
2015-06-05,13.448,13.379
2015-06-08,13.372,13.897
2015-06-09,13.876,13.586
2015-06-10,13.448,13.621
2015-06-11,13.621,13.793
2015-06-12,13.717,13.655
2015-06-15,13.724,14.455
2015-06-16,14.124,13.421
2015-06-17,13.393,13.883
2015-06-18,13.828,13.614
2015-06-19,12.952,12.255
2015-06-23,12.2,12.407
2015-06-24,12.51,12.579
2015-06-25,12.586,11.724
2015-06-26,11.462,10.559
2015-06-29,10.89,10.91
2015-06-30,10.69,11.655
2015-07-01,11.531,10.676
2015-07-02,10.724,9.607
2015-07-03,9.172,8.979
2015-07-06,9.876,9.414
2015-07-07,8.966,8.475999999999999
2015-07-08,7.628,7.766
2015-07-09,7.828,8.545
2015-07-10,8.972,9.4
