date,PX_OPEN,PX_LAST
2015-01-05,3.39,3.65
2015-01-06,3.65,3.75
2015-01-07,3.8,3.98
2015-01-08,3.9,3.8
2015-01-09,3.7800000000000002,3.74
2015-01-12,3.73,3.76
2015-01-13,3.8,3.7199999999999998
2015-01-14,3.7199999999999998,3.59
2015-01-15,3.56,3.63
2015-01-16,3.9,3.77
2015-01-19,3.69,3.6
2015-01-20,3.57,3.64
2015-01-21,3.69,3.77
2015-01-22,3.7199999999999998,3.92
2015-01-23,3.99,3.84
2015-01-26,3.84,3.87
2015-01-27,3.81,3.79
2015-01-28,3.79,3.74
2015-01-29,3.69,3.65
2015-01-30,3.6,3.59
2015-02-02,3.59,3.58
2015-02-03,3.59,3.63
2015-02-04,3.6,3.54
2015-02-05,3.61,3.49
2015-02-06,3.46,3.34
2015-02-09,3.3,3.31
2015-02-10,3.3,3.37
2015-02-11,3.37,3.38
2015-02-12,3.36,3.37
2015-02-13,3.38,3.44
2015-02-16,3.46,3.46
2015-02-17,3.4699999999999998,3.49
2015-02-25,3.46,3.42
2015-02-26,3.42,3.52
2015-02-27,3.52,3.55
2015-03-02,3.58,3.64
2015-03-03,3.61,3.55
2015-03-04,3.54,3.54
2015-03-05,3.54,3.46
2015-03-06,3.44,3.5
2015-03-09,3.44,3.49
2015-03-10,3.4699999999999998,3.4699999999999998
2015-03-11,3.46,3.45
2015-03-12,3.44,3.48
2015-03-13,3.48,3.5
2015-03-16,3.5,3.57
2015-03-17,3.58,3.67
2015-03-18,3.69,3.86
2015-03-19,3.9,3.91
2015-03-20,3.94,3.88
2015-03-23,3.95,4.0
2015-03-24,4.03,4.4
2015-03-25,4.49,4.52
2015-03-26,4.51,4.41
2015-03-27,4.46,4.43
2015-03-30,4.41,4.45
2015-03-31,4.44,4.32
2015-04-01,4.32,4.36
2015-04-02,4.41,4.44
2015-04-03,4.42,4.46
2015-04-07,4.52,4.5600000000000005
2015-04-08,4.5600000000000005,4.47
2015-04-09,4.47,4.33
2015-04-10,4.31,4.38
2015-04-13,4.4,4.47
2015-04-14,4.47,4.62
2015-04-15,4.61,4.6
2015-04-16,4.58,4.86
2015-04-17,4.86,5.0
2015-04-20,5.01,5.2
2015-04-21,5.12,5.24
2015-05-27,5.76,5.76
2015-05-28,6.34,6.34
2015-05-29,6.97,6.97
2015-06-01,7.49,7.18
2015-06-02,7.07,6.97
2015-06-03,6.96,6.72
2015-06-04,6.64,6.52
2015-06-05,6.5600000000000005,6.78
2015-06-08,6.79,6.64
2015-06-09,6.63,6.57
2015-06-10,6.5,6.55
2015-06-11,6.52,6.46
2015-06-12,6.46,6.44
2015-06-15,6.44,6.52
2015-06-16,6.4,6.3
2015-06-17,6.29,6.29
2015-06-18,6.26,6.18
2015-06-19,6.11,5.6
2015-06-23,5.58,5.58
2015-06-24,5.62,5.88
2015-06-25,5.9399999999999995,5.58
2015-06-26,5.43,5.04
2015-06-29,5.21,4.75
2015-06-30,4.6,5.12
2015-07-01,5.09,4.83
2015-07-02,4.95,4.49
2015-07-03,4.47,4.08
2015-07-06,4.47,4.28
2015-07-07,4.15,4.1
2015-07-08,3.79,3.69
2015-07-09,3.69,3.9699999999999998
2015-07-10,4.1,4.37
2015-07-13,4.51,4.8100000000000005
2015-07-14,4.8100000000000005,4.57
2015-07-15,4.45,4.11
2015-07-16,4.11,4.24
2015-07-17,4.25,4.45
2015-07-20,4.45,4.42
2015-07-21,4.32,4.45
2015-07-22,4.38,4.36
2015-07-23,4.34,4.5
2015-07-24,4.46,4.39
2015-07-27,4.3,3.95
2015-07-28,3.85,3.88
2015-07-29,3.92,4.13
2015-07-30,4.11,3.99
2015-07-31,3.92,4.01
2015-08-03,3.98,4.0
2015-08-04,3.99,4.11
2015-08-05,4.08,4.0
2015-08-06,3.9,3.95
2015-08-07,4.05,4.04
2015-08-10,4.05,4.22
2015-08-11,4.25,4.64
2015-08-12,4.61,4.71
2015-08-13,4.6,4.65
2015-08-14,4.6,4.52
2015-08-17,4.52,4.57
2015-08-18,4.57,4.11
2015-08-19,3.98,4.25
2015-08-20,4.31,4.26
2015-08-21,4.37,4.17
2015-08-24,3.9699999999999998,3.75
2015-08-25,3.46,3.38
2015-08-26,3.46,3.37
2015-08-27,3.39,3.49
2015-08-28,3.55,3.7199999999999998
2015-08-31,3.67,3.56
2015-09-01,3.56,3.65
2015-09-02,3.5,3.56
2015-09-07,3.56,3.59
2015-09-08,3.57,3.64
2015-09-09,3.66,3.75
2015-09-10,3.69,3.64
2015-09-11,3.64,3.6
2015-09-14,3.6,3.63
2015-09-15,3.54,3.35
2015-09-16,3.36,3.59
2015-09-17,3.59,3.5
2015-09-18,3.57,3.51
2015-09-21,3.48,3.55
2015-09-22,3.54,3.57
2015-09-23,3.5,3.44
2015-09-24,3.44,3.4699999999999998
2015-09-25,3.52,3.51
2015-09-28,3.48,3.4699999999999998
2015-09-29,3.41,3.37
2015-09-30,3.38,3.38
2015-10-08,3.49,3.48
2015-10-09,3.48,3.55
2015-10-12,3.57,3.74
2015-10-13,3.67,3.7
2015-10-14,3.7199999999999998,3.67
2015-10-15,3.71,3.74
2015-10-16,3.74,3.74
2015-10-19,3.73,3.7
2015-10-20,3.68,3.73
2015-10-21,3.84,3.73
2015-10-22,3.65,3.77
2015-10-23,3.77,3.7800000000000002
2015-10-26,3.81,3.77
2015-10-27,3.74,3.73
2015-10-28,3.71,3.71
2015-10-29,3.69,3.69
2015-10-30,3.65,3.65
2015-11-02,3.61,3.56
2015-11-03,3.55,3.56
2015-11-04,3.5300000000000002,3.68
2015-11-05,3.67,3.73
2015-11-06,3.71,3.7800000000000002
2015-11-09,3.73,3.79
2015-11-10,3.77,3.88
2015-11-11,3.84,3.81
2015-11-12,3.8,3.77
2015-11-13,3.73,3.67
2015-11-16,3.69,3.79
2015-11-17,3.77,3.74
2015-11-18,3.71,3.69
