,averaged daily return,averaged daily return after transaction cost
2015-03-09,0.0,-0.001
2015-03-10,0.010058943902514847,0.010058943902514847
2015-03-11,-0.0014827949172504776,-0.0014827949172504776
2015-03-12,0.009657633687875518,0.009657633687875518
2015-03-13,0.010953668171454514,0.010953668171454514
2015-03-16,0.03200346953018432,0.031170136196850988
2015-03-17,0.0001464635022569867,0.0001464635022569867
2015-03-18,0.016115735405364234,0.016115735405364234
2015-03-19,0.0047564592786071835,0.0047564592786071835
2015-03-20,0.012404506376603073,0.012404506376603073
2015-03-23,0.020918962486038386,0.02014476893765129
2015-03-24,0.016929864274569204,0.016929864274569204
2015-03-25,0.011128698603382368,0.011128698603382368
2015-03-26,-0.012579023531825868,-0.012579023531825868
2015-03-27,0.012329920568926732,0.012329920568926732
2015-03-30,0.009442634169610152,0.0086150479627136
2015-03-31,0.000999438930310137,0.000999438930310137
2015-04-01,0.028929749737902858,0.028929749737902858
2015-04-02,0.015641525299507242,0.015641525299507242
2015-04-03,0.016489076045442582,0.016489076045442582
2015-04-07,0.0220699142930268,0.021518190155095766
2015-04-08,-0.014120650023089536,-0.014120650023089536
2015-04-09,-0.022010715028093996,-0.022010715028093996
2015-04-10,0.03354440020973764,0.03354440020973764
2015-04-13,0.02578982996009889,0.02578982996009889
2015-04-14,0.006139984063276909,0.005623855031018844
2015-04-15,-0.031928627139477646,-0.031928627139477646
2015-04-16,0.02316209199640823,0.02316209199640823
2015-04-17,0.008435653867426817,0.008435653867426817
2015-04-20,-0.031510907492413115,-0.031510907492413115
2015-04-21,0.02789954884653972,0.02714092815688455
2015-04-22,0.023254959654398975,0.023254959654398975
2015-04-23,0.025991690810541944,0.025991690810541944
2015-04-24,0.003908179871171975,0.003908179871171975
2015-04-27,0.0038431188419026673,0.0038431188419026673
2015-04-28,-0.03986612497453853,-0.04064031852292563
2015-04-29,0.03064367704068793,0.03064367704068793
2015-04-30,0.003759012817073371,0.003759012817073371
2015-05-04,-0.0007355466872387985,-0.0007355466872387985
2015-05-05,-0.02931228577913109,-0.02931228577913109
2015-05-06,-0.0015000676212210745,-0.002155240035014178
2015-05-07,-0.007456264548200596,-0.007456264548200596
2015-05-08,0.04163846056943358,0.04163846056943358
2015-05-11,0.03414676934683408,0.03414676934683408
2015-05-12,0.019734037954089942,0.019734037954089942
2015-05-13,0.015449643108364958,0.01474964310836496
2015-05-14,-0.005125204668554623,-0.005125204668554623
2015-05-15,-0.004265569933287261,-0.004265569933287261
2015-05-18,0.02740401502516398,0.02740401502516398
2015-05-19,0.02565596173918381,0.02565596173918381
2015-05-20,0.0158723759102385,0.014946449984312575
2015-05-21,0.035015733793440175,0.035015733793440175
2015-05-22,0.004202769948844901,0.004202769948844901
2015-05-25,0.023251125308254073,0.023251125308254073
2015-05-26,0.02700759436954697,0.02700759436954697
2015-05-27,0.01554813841958955,0.014905281276732407
2015-05-28,-0.065282229618309,-0.065282229618309
2015-05-29,0.014489519474537277,0.014489519474537277
2015-06-01,0.07369247897878338,0.07369247897878338
2015-06-02,0.0327948324859762,0.0327948324859762
2015-06-03,-0.004079759495615707,-0.00471309282894904
2015-06-04,0.020905117494404178,0.020905117494404178
2015-06-05,0.010253437727903983,0.010253437727903983
2015-06-08,-0.013927161774469515,-0.013927161774469515
2015-06-09,0.004252505240594927,0.004252505240594927
2015-06-10,0.035138136248150695,0.03443443254444699
2015-06-11,0.02495710578705259,0.02495710578705259
2015-06-12,0.0050800008790293,0.0050800008790293
2015-06-15,-0.03785117104240261,-0.03785117104240261
2015-06-16,-0.0494934199771465,-0.0494934199771465
2015-06-17,0.02350729059286668,0.022465623926200013
2015-06-18,-0.04225833162681339,-0.04225833162681339
2015-06-19,-0.06147698745322588,-0.06147698745322588
2015-06-23,0.031289560516593255,0.031289560516593255
2015-06-24,0.024495392614377054,0.024495392614377054
2015-06-25,-0.045574458939462964,-0.04619514859463538
2015-06-26,-0.08876527626403938,-0.08876527626403938
2015-06-29,-0.051567593254627064,-0.051567593254627064
2015-06-30,0.07770498944211275,0.07770498944211275
2015-07-01,-0.04835888411825804,-0.04835888411825804
2015-07-02,-0.05635776661590366,-0.056875007995214
2015-07-03,-0.022693033149623003,-0.022693033149623003
2015-07-06,0.004692084368768217,0.004692084368768217
2015-07-07,-0.06119441199131729,-0.06119441199131729
2015-07-08,-0.07094907445424593,-0.07094907445424593
2015-07-09,0.09971505268248898,0.09892933839677469
2015-07-10,0.10013775139855918,0.10013775139855918
2015-07-13,0.0999203978433992,0.0999203978433992
2015-07-14,0.07333066453702972,0.07333066453702972
2015-07-15,-0.038550921130883195,-0.038550921130883195
2015-07-16,0.039245615289595234,0.03824561528959523
2015-07-17,0.06383439717359236,0.06383439717359236
2015-07-20,-0.005331513628353905,-0.005331513628353905
2015-07-21,0.004879949880487044,0.004879949880487044
2015-07-22,-0.006236189201151959,-0.006236189201151959
2015-07-23,0.026727397911735576,0.025870255054592717
2015-07-24,-0.017639157709193838,-0.017639157709193838
2015-07-27,-0.09800293047090261,-0.09800293047090261
2015-07-28,-0.014441290820996398,-0.014441290820996398
2015-07-29,0.05464761202670017,0.05464761202670017
2015-07-30,-0.04271811892251966,-0.04368240463680537
2015-07-31,0.01965442749619519,0.01965442749619519
2015-08-03,0.008191915248050057,0.008191915248050057
2015-08-04,0.04918255976860833,0.04918255976860833
2015-08-05,-0.025297712922961457,-0.025297712922961457
2015-08-06,-0.017595388053016987,-0.018262054719683653
2015-08-07,0.028038648830363215,0.028038648830363215
2015-08-10,0.05343875666403136,0.05343875666403136
