Ticker,Returns
0086.hk,0.027
0435.hk,0.062
0496.hk,-0.145
0856.hk,0.033
1117.hk,0.025
1521.hk,0.095
1573.hk,3.478
1680.hk,-0.082
1797.hk,-0.022
1890.hk,-0.003
1905.hk,0.0
1907.hk,0.014
1908.hk,0.069
1951.hk,0.165
2013.hk,-0.01
2019.hk,0.037
3692.hk,0.018
3868.hk,-0.014
3877.hk,0.122
3990.hk,0.06
6055.hk,0.108
^HSI,0.057
