Ticker,Returns
0086.hk,0.024
0435.hk,0.06
0496.hk,-0.168
0856.hk,-0.01
1117.hk,-0.059
1521.hk,0.18
1573.hk,1.896
1680.hk,-0.093
1797.hk,0.003
1890.hk,0.003
1905.hk,0.013
1907.hk,-0.021
1908.hk,0.094
1951.hk,0.306
2013.hk,0.007
2019.hk,0.031
3692.hk,-0.038
3868.hk,0.024
3877.hk,0.245
3990.hk,0.073
6055.hk,0.12
^HSI,0.041
