Ticker,Returns
0086.hk,0.015
0435.hk,0.066
0496.hk,-0.183
0856.hk,0.015
1117.hk,-0.067
1521.hk,0.125
1573.hk,2.209
1680.hk,-0.093
1797.hk,-0.021
1890.hk,0.013
1905.hk,-0.025
1907.hk,-0.007
1908.hk,0.082
1951.hk,0.221
2013.hk,0.0
2019.hk,0.037
3692.hk,-0.032
3868.hk,0.029
3877.hk,0.235
3990.hk,0.094
6055.hk,0.142
^HSI,0.042
