Ticker,Returns
0086.hk,-0.026
0435.hk,0.066
0496.hk,-0.174
0856.hk,0.053
1117.hk,-0.083
1521.hk,0.177
1573.hk,3.057
1680.hk,-0.102
1797.hk,-0.043
1890.hk,0.024
1905.hk,0.0
1907.hk,-0.021
1908.hk,0.059
1951.hk,0.192
2013.hk,0.106
2019.hk,0.043
3692.hk,-0.072
3868.hk,0.029
3877.hk,0.222
3990.hk,0.07
6055.hk,0.017
^HSI,0.046
