Ticker,Returns
0086.hk,-0.02
0435.hk,0.069
0496.hk,-0.148
0856.hk,0.032
1117.hk,-0.074
1521.hk,0.191
1573.hk,2.509
1680.hk,-0.102
1797.hk,-0.045
1890.hk,0.016
1905.hk,-0.007
1907.hk,-0.003
1908.hk,0.057
1951.hk,0.179
2013.hk,0.16
2019.hk,0.031
3692.hk,-0.025
3868.hk,0.019
3877.hk,0.091
3990.hk,0.055
6055.hk,-0.039
^HSI,0.057
