Ticker,Returns
0086.hk,-0.017
0435.hk,0.06
0496.hk,-0.159
0856.hk,0.026
1117.hk,-0.074
1521.hk,0.234
1573.hk,2.66
1680.hk,-0.102
1797.hk,-0.02
1890.hk,0.013
1905.hk,0.039
1907.hk,-0.035
1908.hk,0.071
1951.hk,0.275
2013.hk,0.114
2019.hk,0.037
3692.hk,-0.077
3868.hk,0.024
3877.hk,0.232
3990.hk,0.05
6055.hk,-0.002
^HSI,0.044
