Ticker,Returns
0086.hk,-0.026
0435.hk,0.052
0496.hk,-0.121
0856.hk,0.082
1117.hk,0.017
1521.hk,0.205
1573.hk,2.34
1680.hk,-0.092
1797.hk,0.009
1890.hk,0.053
1905.hk,0.059
1907.hk,0.0
1908.hk,0.063
1951.hk,0.219
2013.hk,0.106
2019.hk,0.037
3692.hk,-0.025
3868.hk,-0.019
3877.hk,0.101
3990.hk,0.032
6055.hk,-0.004
^HSI,0.042
