Ticker,Returns
0086.hk,0.009
0435.hk,0.033
0496.hk,-0.177
0856.hk,-0.01
1117.hk,-0.067
1521.hk,0.163
1573.hk,2.164
1680.hk,-0.093
1797.hk,0.03
1890.hk,0.018
1905.hk,0.013
1907.hk,-0.028
1908.hk,0.074
1951.hk,0.319
2013.hk,0.0
2019.hk,0.037
3692.hk,0.01
3868.hk,0.014
3877.hk,0.265
3990.hk,0.045
6055.hk,0.106
^HSI,0.03
