上交所股份編號
600000
600004
600007
600009
600010
600011
600012
600015
600016
600018
600019
600020
600021
600025
600026
600027
600028
600029
600030
600031
600036
600038
600039
600048
600050
600053
600056
600060
600061
600062
600066
600068
600072
600073
600075
600085
600089
600093
600094
600104
600105
600109
600111
600114
600115
600116
600118
600120
600122
600123
600125
600132
600136
600138
600141
600153
600160
600161
600162
600167
600170
600171
600172
600176
600180
600183
600185
600188
600196
600197
600201
600206
600208
600210
600216
600219
600230
600231
600233
600236
600239
600252
600256
600258
600260
600261
600271
600273
600276
600277
600282
600284
600285
600291
600295
600297
600298
600299
600305
600309
600310
600312
600315
600323
600325
600326
600329
600332
600335
600337
600338
600340
600343
600345
600346
600348
600350
600352
600362
600363
600366
600369
600372
600373
600376
600377
600380
600383
600387
600388
600392
600393
600395
600398
600406
600409
600410
600415
600418
600420
600422
600426
600436
600438
600439
600446
600452
600459
600460
600466
600477
600482
600483
600486
600487
600489
600490
600491
600495
600498
600499
600500
600502
600507
600511
600516
600519
600521
600522
600525
600528
600531
600535
600536
600545
600547
600548
600549
600557
600559
600563
600565
600566
600567
600570
600572
600577
600580
600582
600583
600584
600585
600587
600588
600596
600597
600598
600600
600606
600611
600612
600622
600623
600626
600635
600637
600639
600641
600642
600643
600648
600655
600657
600660
600661
600663
600664
600667
600668
600673
600674
600675
600681
600682
600685
600688
600690
600693
600694
600699
600702
600703
600704
600705
600708
600711
600717
600720
600728
600729
600733
600738
600739
600741
600742
600748
600750
600754
600755
600756
600757
600760
600763
600765
600775
600777
600779
600782
600787
600795
600801
600803
600804
600808
600809
600811
600814
600816
600820
600823
600826
600828
600835
600837
600845
600846
600848
600850
600859
600860
600863
600867
600871
600872
600874
600875
600876
600879
600884
600885
600886
600887
600893
600895
600897
600900
600901
600903
600909
600917
600919
600926
600933
600958
600965
600967
600970
600971
600973
600975
600977
600978
600985
600986
600987
600990
600993
600996
600998
600999
601000
601001
601002
601003
601005
601006
601009
601012
601015
601016
601018
601019
601020
601021
601038
601058
601066
601068
601069
601088
601098
601099
601100
601107
601108
601111
601117
601127
601128
601138
601139
601155
601158
601162
601166
601168
601169
601186
601198
601200
601211
601216
601222
601225
601229
601231
601233
601238
601288
601298
601311
601318
601319
601326
601328
601330
601333
601336
601360
601375
601377
601390
601398
601555
601567
601577
601588
601598
601600
601601
601607
601615
601618
601619
601628
601633
601636
601666
601668
601669
601678
601688
601689
601699
601717
601727
601766
601788
601789
601799
601800
601801
601808
601811
601818
601828
601838
601857
601858
601860
601865
601866
601869
601872
601877
601878
601880
601881
601888
601898
601899
601901
601908
601919
601933
601939
601958
601966
601985
601988
601989
601990
601991
601992
601997
601998
603007
603008
603013
603019
603025
603027
603039
603043
603056
603060
603077
603080
603098
603103
603108
603113
603118
603121
603126
603127
603128
603156
603157
603160
603165
603180
603185
603198
603220
603225
603228
603233
603259
603260
603283
603288
603298
603305
603328
603332
603337
603338
603339
603351
603355
603357
603358
603363
603367
603368
603369
603387
603393
603421
603444
603466
603486
603501
603505
603515
603517
603533
603556
603568
603569
603579
603583
603585
603587
603588
603589
603590
603595
603596
603599
603600
603603
603609
603612
603619
603626
603638
603639
603650
603658
603659
603660
603666
603669
603680
603686
603707
603708
603711
603712
603713
603728
603730
603733
603737
603757
603766
603773
603799
603801
603803
603806
603808
603816
603833
603848
603858
603866
603868
603871
603876
603877
603881
603882
603883
603885
603888
603895
603897
603898
603899
603929
603939
603959
603986
603989
603993
603997
